,Header,Price,Link,Content
0,1957 tonka fire truck,$325,https://sfbay.craigslist.org/eby/atq/d/concord-1957-tonka-fire-truck/7022905775.html,"$325
Nov 29 1957 tonka fire truck $325 (concord / pleasant hill / martinez)"
1,panasonic radio vintage,$70,https://sfbay.craigslist.org/eby/ele/d/concord-panasonic-radio-vintage/7017173532.html,"$70
Nov 29 panasonic radio vintage $70 (concord / pleasant hill / martinez)"
2,White wood storage bench or book shelf,$25,https://sfbay.craigslist.org/sfc/fuo/d/san-francisco-white-wood-storage-bench/7025790658.html,"$25
Nov 29 White wood storage bench or book shelf $25 (lower haight)"
3,computer room movinkool,$200,https://sfbay.craigslist.org/eby/sop/d/concord-computer-room-movinkool/7017173337.html,"$200
Nov 29 computer room movinkool $200 (concord / pleasant hill / martinez)"
4,"White, 2 drawer nightstand, good condition CASH ONLY",$10,https://sfbay.craigslist.org/eby/fuo/d/white-2-drawer-nightstand-good/7029388898.html,"$10
Nov 29 White, 2 drawer nightstand, good condition CASH ONLY $10 (pittsburg / antioch)"
5,Free Upright Piano,$0,https://sfbay.craigslist.org/sfc/msg/d/san-francisco-free-upright-piano/7029388895.html,"$0
Nov 29 Free Upright Piano $0 (richmond / seacliff)"
6,CHAMPION BASS BOAT,$12000,https://sfbay.craigslist.org/sby/boa/d/salinas-champion-bass-boat/7028430974.html,"$12000
Nov 29 CHAMPION BASS BOAT $12000 (SALINAS)"
7,Schwinn Phantom springer 1954,$1200,https://sfbay.craigslist.org/eby/bik/d/concord-schwinn-phantom-springer-1954/7026174583.html,"$1200
Nov 29 Schwinn Phantom springer 1954 $1200 (concord / pleasant hill / martinez)"
8,Flat mirror,$25,https://sfbay.craigslist.org/eby/fuo/d/pittsburg-flat-mirror/7029388849.html,"$25
Nov 29 Flat mirror $25 (pittsburg / antioch)"
9,"2017 Ford C-Max CMax OEM 17"" Wheels Rims",$400,https://sfbay.craigslist.org/eby/wto/d/davis-2017-ford-max-cmax-oem-17-wheels/7029384704.html,"$400
Nov 29 2017 Ford C-Max CMax OEM 17"" Wheels Rims $400 (fairfield / vacaville)"
10,Rainbow Vacuum,$150,https://sfbay.craigslist.org/eby/app/d/pleasanton-rainbow-vacuum/7027285408.html,"$150
Nov 29 Rainbow Vacuum $150 (dublin / pleasanton / livermore)"
11,ADA Aquarium full set Planted Shrimp Tank,$585,https://sfbay.craigslist.org/eby/for/d/union-city-ada-aquarium-full-set/7029388817.html,"$585
Nov 29 ADA Aquarium full set Planted Shrimp Tank $585 (fremont / union city / newark)"
12,"Lab, doodle, Labradoodles",$0,https://sfbay.craigslist.org/sfc/for/d/north-highlands-lab-doodle-labradoodles/7029366899.html,"$0
Nov 29 Lab, doodle, Labradoodles $0"
13,Closet doors,$65,https://sfbay.craigslist.org/eby/fuo/d/pittsburg-closet-doors/7029388803.html,"$65
Nov 29 Closet doors $65 (pittsburg / antioch)"
14,McColloch Steamer,$80,https://sfbay.craigslist.org/eby/app/d/pleasanton-mccolloch-steamer/7027285894.html,"$80
Nov 29 McColloch Steamer $80 (dublin / pleasanton / livermore)"
15,Blue Diamond Shrimp - price lowered,$2,https://sfbay.craigslist.org/eby/for/d/union-city-blue-diamond-shrimp-price/7029388780.html,"$2
Nov 29 Blue Diamond Shrimp - price lowered $2 (fremont / union city / newark)"
16,W204 Mercedes Benz OEM c300 c250 c350 c63 Facelift rear bumper,$300,https://sfbay.craigslist.org/eby/pts/d/san-leandro-w204-mercedes-benz-oem-c300/7013485753.html,"$300
Nov 29 W204 Mercedes Benz OEM c300 c250 c350 c63 Facelift rear bumper $300 (san leandro)"
17,Dyson V6 Handheld Vacuum,$80,https://sfbay.craigslist.org/eby/app/d/pleasanton-dyson-v6-handheld-vacuum/7027286901.html,"$80
Nov 29 Dyson V6 Handheld Vacuum $80 (dublin / pleasanton / livermore)"
